"rank","podcast","date"
1,"More or Less: Behind the Stats",2025-06-07 12:43:31.729048
2,"Casual Inference",2025-06-07 12:43:31.729048
3,"Opinionated History of Mathematics",2025-06-07 12:43:31.729048
4,"The Art of Mathematics",2025-06-07 12:43:31.729048
5,"My Favorite Theorem",2025-06-07 12:43:31.729048
6,"Breaking Math Podcast",2025-06-07 12:43:31.729048
7,"Making Number Sense Make Sense: A Math Podcast for Early Elementary Teachers",2025-06-07 12:43:31.729048
8,"The Universe Speaks in Numbers",2025-06-07 12:43:31.729048
9,"Data Science Decoded",2025-06-07 12:43:31.729048
10,"Carry the Two",2025-06-07 12:43:31.729048
11,"SOA Podcasts - Society of Actuaries",2025-06-07 12:43:31.729048
12,"The Structural Engineering Podcast",2025-06-07 12:43:31.729048
13,"The Cartesian Cafe",2025-06-07 12:43:31.729048
